URL;Type;Acteur;Position;Poids;Date;Lu en détail? 
https://www.appsystem.fr/162386/alerte-emojis-roux-arrivent-ios/;Blog;entreprises (Apple) ;Les émojis pour la lutte contre la discrimination;*****;20/01/2017;oui
http://www.influencia.net/fr/actualites/media-com,image,emojis-boostent-interaction-sur-instagram,7048.html;Blog;entreprises (instagram) ;Les émojis boostent l'interaction sur Instagram;****;29/01/2017;non
https://www.quintly.com/blog/2017/01/instagram-emoji-study-higher-interactions/;Blog;entreprises(instagramp;Instagram Emoji Study – Emojis lead to higher interactions;****;24/01/2017;non
http://www.lesinrocks.com/2014/08/21/medias/les-emoji-en-train-creer-nouveau-langage-11520266/;(Média);Linguistes et Sociologues;Les émojis sont en train de créer un nouveau langage;*****;21/08/2014;non
http://information.tv5monde.com/terriennes/les-femmes-enfin-mieux-representees-dans-les-emojis-136970;(Média);Unicode;Une meilleure représentation (plus égalitaire) des femme à travers les émojis;*****;04/11/2016;oui
http://www.lepoint.fr/presidentielle/la-presidentielle-2017-vue-par-les-emojis-et-les-hashtags-03-02-2017-2102108_3121.php;(Média);Les réseaux sociaux;La présidentielle 2017 vue par les émojis;***;03/02/2017;oui
http://www.midilibre.fr/2016/12/16/dix-choses-que-vous-ne-saviez-peut-etre-pas-sur-les-emojis,1441575.php;Blog;entreprises (Apple) ;Diversité des émojis;****;09/11/2016;oui
https://twitter.com/jenny8lee/status/796873621746556928;tweet;Les réseaux sociaux;Hijab émoji;*****;10/11/2016;oui
http://www.eonline.com/fr/news/801146/decouvrez-les-premieres-images-du-film-sur-les-emojis-qui-sortira-l-automne-prochain;Blog;entreprises(Sony);Emoji's film;*;12/10/2016;oui
http://madame.lefigaro.fr/societe/les-emojis-ont-ils-un-sexe-060217-129553;(Média);entreprises (twitter et instagram);Le sexe des émojis? ;***;06/02/2017;non
http://www.lessentiel.lu/fr/lifestyle/story/Voici-les-emojis-les-plus-efficaces-pour-la-drague-11796355;Blog;Réseaux Sociaux;Les émojis et la drague;*;17/04/2017;non
https://rslnmag.fr/les-emojis-un-langage/;(Média);Entreprises;Les émojis un langage? ;*****;05/05/2015;oui
https://qz.com/397234/mapping-and-translating-the-emoji-universe-on-instagram/;Média;Entreprises;Les émojis un langage? ;*****;04/05/2015;oui
https://engineering.instagram.com/emojineering-part-1-machine-learning-for-emoji-trendsmachine-learning-for-emoji-trends-7f5f9cb979ad;;Entreprises;Les émojis un langage? ;*****;30/04/2015;oui
http://lexpansion.lexpress.fr/high-tech/les-emojis-que-vous-utilisez-revelent-en-partie-votre-personnalite_1782905.html;(Média);Entreprises;Les émojis révèleraient la personnalité? ;;15/04/2016;non
https://www.youtube.com/watch?v=YYQA8U3QlUU;Video+Commentaires;Entreprises(Always);Always et les émojis;*****;02/03/2016;oui
https://www.youtube.com/watch?v=c6iQeAzTrfE;Video+Commentaires;Réseaux Sociaux;Les émojis sont sexistes? ;**;17/03/2016;oui
https://www.youtube.com/watch?v=DUzEhCsKpko;Video+Commentaires;Journalistes;Are émojis racist? ;**;16/12/2014;oui
https://www.youtube.com/watch?v=Fv3aFkT2Aik;Video+Commentaires;Blogueurs;Signification des émojis;*;10/07/2016;oui
https://www.youtube.com/watch?v=NUMl6S_KNj4;Video+Commentaires;Journalistes;Interpretation des émojis;*****;15/04/2016;oui
https://www.youtube.com/watch?v=vF9c5RE6c7c;Video+Commentaires;Journalistes;Interpretation des émojis;*****;04/12/2014;oui
https://www.youtube.com/watch?v=OHTuVaT4L4U;Video+Commentaires;Blogueurs;Usages des émojis;***;19/10/2016;oui
https://www.youtube.com/watch?v=ysmL_DasmAo;Video+Commentaires;Journalistes;sexually and racially diverse emojis;****;17/04/2015;oui
https://www.youtube.com/watch?v=8I1pfIiRvTc;Video+Commentaires;Particuliers ;Non racist emojis. ;***;22/08/2016;oui
http://www.lefigaro.fr/secteur/high-tech/2016/10/30/32001-20161030ARTFIG00192-dans-le-secret-de-la-tres-discrete-academie-des-emojis.php;Media;Unicode;l'Académie des emojis et le nouveau langage;****;30/10/2016;non
http://www.konbini.com/fr/tendances-2/article-parisien-emoji/;Blog;Presse;Critique d'un article du parisien sur le mauvais usage des émojis;*****;03/07/2016;oui
https://www.youtube.com/watch?v=w5zglJbdE2s;Video + commentaire;Journalistes;Are emojis sexist? ;****;13/05/2016;oui
https://www.globalcitizen.org/fr/content/tags/are-emojis-sexist/;Blog;Blogueurs;Les émojis sont sexistes? ;*;12/05/2015;non
https://www.thestar.com/life/2016/03/08/why-are-emojis-sexist.html;Média;Journalistes;La représentation des femme à travers les émojis;*****;08/04/2016;oui
http://edition.cnn.com/2016/03/02/health/female-emojis-stereotypes-likeagirl/;Média;Journalistes;Les stériotypes à travers les émojis ;*****;02/03/2016;non
http://www.mirror.co.uk/tech/emojis-sexist-girls-feel-under-7478780;Média;Entreprises(Always);La représentation des femme à travers les émojis;*****;02/03/2016;non
https://www.coursehero.com/file/p2vjq57/The-use-of-emojis-makes-a-formal-document-look-informal-hence-reducing-the/;Blog;Experts liguistes;Les émojis et les langages(formel informel) ;*****;05/05/2016;non
https://www.quora.com/Are-smileys-considered-as-unprofessional-in-terms-of-business-communication;Forum;Société civile;Les émojis et le monde professionnel;**;12/06/2015;oui
http://timesdelphic.com/2014/10/08/emojis-corrupt-communication;Media;Linguistes et Journalistes;Emojis Corrupt Communication;*****;08/10/2014;oui
https://www.bayt.com/fr/specialties/q/242009/is-it-professional-to-use-emojis-in-work-emails/;Forum;Particuliers ;Peut on utiliser les émojis  dans les e-mails? ;**;03/12/2015;oui
https://www.bayt.com/fr/specialties/q/237905/emojis-are-they-a-kind-of-language-that-can-be-used-in-business/;Forum;Particuliers ;Are emojis a language? ;**;15/11/2015;oui
http://geeksnack.com/emojis-informal-communication-online-and-the-new-age-of-statistics/;Blog;Chercheurs et scientifiques;Emojis, informal communication online and the new age of statistics;*****;13/03/2016;non
https://www.hibox.co/pb/blog/the-benefit-of-emojis-and-gifs-in-business-communication/;Blog;Warwick Business School;Emojis and business communication;*****;09/03/2017;non
https://www.bangor.ac.uk/news/latest/emoji-fastest-growing-new-language-22835;Publication universitaire;Liguistes;Fastest growing new language;*****;19/05/2015;non
https://www.youtube.com/watch?v=JqDJWGQbzMw;Video + commentaire;Particuliers ;Emoji guide;*;19/05/2015;non
https://www.youtube.com/watch?v=vRNVf-1M7xQ;Video + commentaire;Particuliers ;how to master emojis;*;13/04/2016;oui
https://www.youtube.com/watch?v=SoZlB9pFV2M;Video + commentaire;Particuliers ;l'histoire des émojis;*;19/05/2016;non
https://www.youtube.com/watch?v=utH_conF-gc;Video + commentaire;Particuliers ;comprendre les émojis;*;18/03/2016;non
https://www.youtube.com/watch?v=J6-CnO0kuu4;Video + commentaire;Linguistes;Emojis: the future of language? ;*****;14/08/2015;oui
http://blog.oxforddictionaries.com/2015/11/word-of-the-year-2015-emoji/;Blog ;Oxford dictionnary ;Oxford Dictionaries Word of the Year 2015 is an emoji;*****;03/08/2015;non
https://www.theguardian.com/technology/2016/mar/13/emojis-discussion-at-sxsw-emotions;Media;Linguists;Emojis as a language;*****;03/06/2017;non
https://www.business.com/articles/put-an-emoji-on-it-should-you-use-emojis-in-business-communication/;Media;Business editorial staff;Should we use emojis in business communication?;****;22/02/2017;oui
https://www.userlike.com/en/blog/emoticons-business-communication;Blog;Chercheurs;How to Use Emoticons and Emojis in Business Communication;*****;15/16/2016;non
https://grouplens.org/site-content/uploads/Emoji_Interpretation_Paper.pdf;Publication scientifique ;University of Minnesota;Varying Interpretations of Emoji;********;2016;non
https://www.youtube.com/watch?v=w5zglJbdE2s;Video + commentaire;Activistes;Les émojis sont ils sexistes? ;*****;13/05/2016;oui
https://fr.slideshare.net/onprenduncafe/emoji-la-tendance;Blog;Les entreprises (Accorhotels, Oasis, Taco bell, Oreo,…) ;Les émojis tendance;**;22/02/2016;non
https://twitter.com/rayoufalh?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwww.20minutes.fr%2Fhigh-tech%2F1960227-20161112-facepalm-hijab-croissant-decouvrez-nouveaux-emojis;Tweet;Activistes;Hijab Emoji;*****;17/11/2016;oui
https://twitter.com/Accenture/status/799317131477286913;Tweet;Entreprise(Accenture);Hijab Emoji;*****;12/11/2016;oui
http://www.20minutes.fr/high-tech/1960227-20161112-facepalm-hijab-croissant-decouvrez-nouveaux-emojis;Media;Unicode consortium;Les nouveaux émojis;****;12/11/2016;non
https://www.youtube.com/watch?v=b81S9lWIMnE;Video + commentaire;Emojipedia;New emojis;***;03/06/2016;oui
https://www.youtube.com/watch?v=9hIJLOgdSZo;Video + commentaire;Emojipedia;New emojis;***;27/03/2017;oui
https://www.youtube.com/watch?v=hieiwf5H34w;Video + commentaire;Aplle, Samsung, Google, Microsoft;Emojis lost in translation;*****;13/02/2016;oui
http://www.lefigaro.fr/secteur/high-tech/2016/10/30/32001-20161030ARTFIG00192-dans-le-secret-de-la-tres-discrete-academie-des-emojis.php;Media;Unicode consortium;How emojis are added? ;*****;30/10/2016;oui
https://www.business.com/articles/brigette-mcinnis-day-emotional-intelligence/?page=1&q=emojis&resultlist=mostRelevant;Media;Sociologues;Are emojis replacing emotional intelligence? ;*****;22/02/2017;non
https://www.youtube.com/watch?v=IzUOI_2DXQw;Video + commentaire;Youtubers;Emojis in real Life;+++++;31/05/2014;oui
